,Enrichment,Pitch,FuelRad,FuelTemp,ModTemp,ModDens,Keff,Std_dev,time_taken
0,7.78,1.978,0.635,350.4,366.9,0.969,1.57594,0.00087,11.791141
1,4.83,1.066,0.392,725.5,572.3,0.727,1.29306,0.00098,17.18914
2,8.6,1.727,0.325,1487.9,573.8,0.724,1.59529,0.00088,12.905945
3,7.79,1.198,0.483,1111.4,475.5,0.872,1.30671,0.00102,16.153371
4,3.89,1.993,0.834,533.7,447.7,0.902,1.27877,0.00083,14.438443
5,2.23,1.839,0.484,354.7,452.5,0.897,1.31044,0.0009,14.488082
6,8.23,1.417,0.208,694.3,364.8,0.971,1.46319,0.00089,13.885052
7,7.84,1.471,0.571,411.1,306.0,1.001,1.44004,0.00095,13.350195
8,3.35,1.457,0.26,1181.1,527.3,0.805,1.30093,0.00085,16.395504
9,1.87,1.925,0.725,957.0,433.8,0.915,1.21611,0.00091,13.982951
10,3.55,1.221,0.302,377.1,496.8,0.846,1.43468,0.00085,14.624926
11,8.21,1.706,0.548,1198.1,337.9,0.987,1.55115,0.00096,10.627425
12,8.28,1.762,0.636,1085.8,412.2,0.935,1.48267,0.00084,11.716963
13,3.74,1.295,0.468,756.7,355.0,0.977,1.36612,0.00102,14.443767
14,4.94,1.622,0.229,825.2,365.6,0.97,1.24827,0.00086,14.964815
15,7.4,1.291,0.336,1663.1,390.9,0.952,1.56597,0.00083,12.280291
16,7.42,1.996,0.277,485.3,540.7,0.784,1.44464,0.00089,13.837888
17,6.27,1.881,0.69,1776.3,351.1,0.98,1.44375,0.00108,11.523313
18,7.45,1.319,0.524,634.7,341.9,0.985,1.38292,0.00081,13.829717
19,1.31,1.12,0.392,1640.8,448.2,0.901,1.07668,0.00086,18.520268
20,1.33,1.842,0.435,1527.7,373.8,0.965,1.03012,0.0008,19.580178
21,7.32,1.246,0.382,397.9,307.8,1.001,1.55814,0.00084,12.736231
22,5.72,1.422,0.33,1428.5,530.0,0.801,1.52684,0.00075,13.335128
23,5.15,1.505,0.235,1059.7,313.4,0.999,1.32609,0.00086,14.208437
24,2.44,1.842,0.675,1077.2,335.4,0.988,1.30222,0.00105,13.623022
25,1.37,1.369,0.21,1328.7,413.3,0.934,0.76196,0.00061,21.41075
26,8.74,1.316,0.523,1058.3,341.9,0.985,1.38215,0.00097,14.091748
27,1.44,1.953,0.795,512.6,564.3,0.743,1.06586,0.00094,15.700337
28,5.89,1.544,0.582,1522.3,593.6,0.678,1.30525,0.001,14.436609
29,6.42,1.848,0.709,354.7,352.9,0.978,1.45236,0.00101,11.908356
30,7.65,1.882,0.724,1195.1,492.4,0.852,1.40813,0.00085,11.765901
31,7.45,1.764,0.428,409.4,494.0,0.85,1.60189,0.00082,11.6376
32,3.84,1.274,0.419,1749.4,420.0,0.928,1.3867,0.00102,14.244144
33,4.27,1.975,0.322,1619.6,564.8,0.742,1.35249,0.00079,14.500628
34,3.36,1.432,0.553,376.4,583.5,0.703,1.24413,0.00093,16.264258
35,7.57,1.714,0.232,646.3,304.7,1.002,1.35938,0.00088,13.298271
36,4.58,1.752,0.333,1060.5,366.8,0.97,1.39793,0.00088,13.048803
37,4.76,1.486,0.582,356.8,431.3,0.918,1.35723,0.00097,14.607904
38,3.86,1.704,0.266,737.3,599.0,0.662,1.33176,0.00092,15.96162
39,4.06,1.946,0.794,422.4,497.6,0.845,1.30092,0.00095,14.045637
40,4.32,1.446,0.468,1325.2,507.7,0.832,1.41669,0.00093,13.356856
41,3.19,1.066,0.398,1660.9,464.0,0.885,1.23605,0.001,16.86538
42,7.49,1.683,0.567,901.0,455.9,0.893,1.50816,0.0008,11.240613
43,1.63,1.583,0.372,652.9,321.5,0.995,1.12262,0.00076,14.942857
44,7.64,1.188,0.299,1314.0,429.2,0.919,1.57259,0.00087,12.350555
45,6.18,1.494,0.382,1274.9,402.5,0.943,1.54882,0.00078,11.873432
46,3.91,1.785,0.207,654.5,591.0,0.684,1.12751,0.00078,18.531399
47,1.97,1.614,0.381,1720.4,556.6,0.757,1.22183,0.00099,16.401435
48,6.27,1.533,0.422,545.5,383.2,0.958,1.56516,0.00085,11.958415
49,2.56,1.146,0.437,1659.3,569.4,0.733,1.13862,0.00099,18.230154
50,7.99,1.99,0.39,1437.4,360.5,0.974,1.55206,0.00081,10.984272
51,2.69,1.837,0.767,1493.6,460.8,0.888,1.17295,0.00097,13.918659
52,4.55,1.467,0.357,316.2,393.0,0.95,1.49987,0.00092,12.529121
53,7.36,1.791,0.345,1188.9,599.2,0.662,1.57793,0.00082,11.630924
54,8.48,1.551,0.583,469.8,525.5,0.808,1.43031,0.00085,13.287637
55,8.47,1.082,0.35,510.9,455.4,0.894,1.51381,0.00091,13.824435
56,4.14,1.484,0.483,1574.1,529.6,0.802,1.39688,0.00104,13.577359
57,6.17,1.295,0.314,583.4,467.2,0.881,1.55735,0.00082,12.935887
58,4.5,1.219,0.375,416.1,438.8,0.91,1.47069,0.00077,14.126627
59,2.0,1.871,0.669,1703.0,506.3,0.834,1.2229,0.00095,13.906767
60,3.23,1.345,0.537,1276.7,542.9,0.781,1.17919,0.00101,15.812339
61,3.29,1.41,0.374,332.9,554.0,0.762,1.42453,0.00096,14.514176
62,8.23,1.632,0.559,1328.2,302.7,1.002,1.51517,0.00086,11.003378
63,7.32,1.964,0.311,869.1,440.0,0.909,1.46317,0.00076,13.209163
64,7.88,1.519,0.411,683.9,334.7,0.989,1.59619,0.00088,11.542852
65,8.12,1.426,0.528,1780.8,450.9,0.898,1.41051,0.00089,13.314447
66,2.21,1.068,0.341,737.2,597.2,0.668,1.23285,0.00092,18.074756
67,4.34,1.92,0.449,1080.5,342.3,0.985,1.45804,0.00093,12.071606
68,6.59,1.532,0.479,1298.1,543.4,0.78,1.48799,0.00088,11.935078
69,3.85,1.812,0.454,1411.2,564.8,0.742,1.44901,0.00077,12.520348
70,6.02,1.83,0.558,1483.4,308.8,1.0,1.52893,0.00094,10.763672
71,4.7,1.2,0.414,1768.7,596.8,0.669,1.30815,0.00087,15.502308
72,2.14,1.43,0.336,1756.1,500.5,0.842,1.23787,0.00097,19.402668
73,6.1,1.008,0.32,1783.5,450.4,0.899,1.44095,0.00088,18.917514
74,6.51,1.594,0.371,416.4,520.7,0.815,1.57759,0.00085,12.9604
75,6.8,1.591,0.373,427.8,336.0,0.988,1.57886,0.00079,12.021933
76,8.76,1.397,0.395,380.6,522.6,0.812,1.58681,0.0008,13.290679
