Enrichment,Pitch,FuelRad,FuelTemp,ModTemp,ModDens,Keff,Std_dev
8.13,1.956,0.22,1473.0,524.6,0.809,1.32675,0.00035
6.05,1.712,0.645,933.9,410.0,0.937,1.42392,0.00037
3.22,1.927,0.48,393.2,342.8,0.984,1.40597,0.0004
8.41,1.412,0.469,396.9,380.8,0.96,1.55058,0.00036
4.71,1.185,0.342,1270.4,393.5,0.95,1.47718,0.0004
3.84,1.858,0.751,1307.3,313.9,0.998,1.3113,0.0004
6.14,1.467,0.583,538.7,385.2,0.956,1.37736,0.00043
8.64,1.414,0.201,493.9,315.1,0.998,1.45672,0.00035
7.61,1.951,0.271,1686.7,529.5,0.802,1.44083,0.00041
5.49,1.461,0.315,675.0,340.4,0.986,1.51279,0.00041
6.32,1.653,0.645,1633.7,382.6,0.958,1.37965,0.00042
5.55,1.512,0.508,1403.0,543.8,0.779,1.4279,0.00046
7.29,1.706,0.228,1696.2,561.9,0.748,1.43267,0.00041
1.25,1.932,0.883,598.1,473.0,0.875,0.91508,0.00038
2.16,1.409,0.329,703.7,329.0,0.992,1.23576,0.0004
2.1,1.29,0.537,1719.6,428.3,0.92,1.07768,0.00043
6.7,1.768,0.738,667.9,571.1,0.73,1.28481,0.00041
6.21,1.198,0.5,316.1,301.7,1.003,1.31471,0.00041
4.36,1.369,0.486,1438.9,323.1,0.994,1.39678,0.0004
4.58,1.324,0.551,1727.9,583.6,0.703,1.13935,0.00042
1.04,1.419,0.236,1611.4,567.4,0.737,0.76314,0.00028
3.29,1.565,0.476,1146.3,484.5,0.861,1.40325,0.00036
3.21,1.86,0.531,1278.6,339.5,0.986,1.41417,0.0004
2.03,1.541,0.611,1528.5,389.6,0.953,1.16877,0.00045
7.37,1.711,0.748,1155.0,518.2,0.818,1.24517,0.00046
8.75,1.948,0.597,382.7,306.2,1.001,1.61226,0.00039
7.95,1.239,0.48,1125.5,315.4,0.998,1.3948,0.00039
4.99,1.233,0.404,883.9,358.6,0.975,1.46132,0.0004
7.42,1.709,0.731,533.8,440.0,0.909,1.32609,0.00043
3.53,1.353,0.384,1169.2,562.4,0.747,1.40719,0.00041
8.03,1.871,0.483,809.6,394.5,0.949,1.61147,0.00037
8.84,1.333,0.448,381.6,341.7,0.985,1.54912,0.00042
4.56,1.549,0.344,1347.7,319.1,0.996,1.45808,0.00037
6.05,1.941,0.778,677.1,339.2,0.986,1.40455,0.00043
2.59,1.528,0.567,1166.4,546.9,0.774,1.23517,0.00043
3.39,1.208,0.428,544.7,530.6,0.8,1.32314,0.00038
3.37,1.284,0.353,1027.8,403.9,0.942,1.41582,0.00042
5.87,1.028,0.264,1766.4,320.7,0.996,1.52042,0.00038
5.63,1.842,0.635,1248.1,404.2,0.941,1.47579,0.00039
8.58,1.185,0.39,491.2,355.1,0.977,1.53859,0.0004
1.58,1.62,0.519,1518.3,361.7,0.973,1.1928,0.00034
5.05,1.154,0.488,1740.1,554.5,0.761,1.12646,0.00041
5.16,1.088,0.293,1474.8,437.9,0.911,1.49278,0.00042
6.35,1.452,0.288,1053.2,397.9,0.947,1.52492,0.00038
3.73,1.51,0.569,849.7,357.2,0.976,1.3535,0.00042
6.08,1.368,0.324,601.9,481.2,0.865,1.56067,0.00039
3.57,1.181,0.257,815.6,389.0,0.954,1.39082,0.00035
1.31,1.044,0.33,1112.9,310.6,1.0,1.11169,0.00036
1.11,1.96,0.475,684.8,486.5,0.859,0.99619,0.00034
5.7,1.573,0.433,1047.1,317.8,0.997,1.54355,0.00034
7.99,1.762,0.679,1387.5,302.5,1.002,1.44332,0.00041
4.66,1.82,0.68,1046.5,429.1,0.92,1.39599,0.0005
1.08,1.75,0.644,1173.3,496.4,0.847,1.04059,0.00034
4.25,1.649,0.434,809.9,463.9,0.885,1.48617,0.00041
1.9,1.328,0.527,620.8,434.0,0.915,1.14982,0.00047
4.04,1.952,0.741,442.8,371.6,0.966,1.4036,0.00045
4.06,1.862,0.743,707.3,539.4,0.786,1.29049,0.00045
4.15,1.726,0.62,1277.9,583.6,0.703,1.33426,0.00045
5.37,1.779,0.327,1607.1,368.7,0.968,1.42988,0.00039
5.9,1.845,0.454,1389.5,448.0,0.901,1.54769,0.00038
6.79,1.007,0.405,1315.8,454.0,0.895,1.26378,0.0004
5.0,1.135,0.296,1156.3,501.0,0.841,1.49422,0.00044
5.12,1.43,0.565,1263.0,590.3,0.686,1.23949,0.00043
8.19,1.772,0.467,1379.4,465.4,0.883,1.59877,0.00038
4.48,1.841,0.576,1631.4,335.5,0.988,1.47594,0.00039
1.09,1.988,0.449,1720.8,372.7,0.966,0.91255,0.00034
2.65,1.122,0.227,1080.2,447.3,0.902,1.25455,0.00038
2.17,1.338,0.51,1226.1,304.1,1.002,1.21771,0.00042
4.4,1.465,0.26,499.2,344.8,0.983,1.36211,0.00036
5.83,1.289,0.54,688.5,385.4,0.956,1.28024,0.0004
8.15,1.414,0.284,722.9,371.5,0.966,1.58991,0.0004
7.3,1.533,0.205,1301.8,516.6,0.82,1.41424,0.0004
5.36,1.534,0.289,327.2,303.2,1.002,1.45597,0.00039
8.3,1.485,0.432,1492.3,500.5,0.842,1.55874,0.00034
4.38,1.517,0.242,1697.2,420.0,0.928,1.29856,0.00036
5.85,1.506,0.65,719.7,374.3,0.964,1.26681,0.0004
6.01,1.843,0.226,1196.8,542.7,0.781,1.29293,0.00036
2.1,1.799,0.633,725.8,537.1,0.79,1.25737,0.00041
3.54,1.005,0.367,1050.4,499.1,0.844,1.27181,0.00041
4.76,1.695,0.247,1111.6,533.5,0.796,1.31757,0.00038
7.49,1.881,0.712,629.6,536.0,0.792,1.42679,0.00037
1.05,1.658,0.75,785.4,475.2,0.872,0.85927,0.00044
3.09,1.341,0.209,1125.1,533.2,0.796,1.19025,0.00041
1.0,1.254,0.394,1037.7,480.5,0.866,1.01603,0.00035
7.21,1.378,0.498,979.4,389.7,0.953,1.45458,0.00042
6.28,1.073,0.235,484.7,452.2,0.897,1.55727,0.00038
2.31,1.107,0.338,397.0,368.2,0.969,1.32054,0.00043
2.15,1.581,0.669,1297.8,425.0,0.923,1.10781,0.00045
7.73,1.184,0.301,1141.8,376.4,0.963,1.5852,0.00043
1.74,1.019,0.294,1337.9,456.0,0.893,1.19489,0.00037
6.01,1.625,0.433,1670.2,530.7,0.8,1.53335,0.00039
8.1,1.486,0.663,828.4,484.4,0.862,1.23713,0.0004
2.97,1.104,0.357,784.8,380.8,0.96,1.35913,0.00043
1.13,1.77,0.51,1263.1,437.6,0.912,1.05868,0.00036
