Enrichment,Pitch,FuelRad,FuelTemp,ModTemp,ModDens,Keff
1.41,1.468,0.408,1602.7,356.0,0.977,1.12277
5.84,1.075,0.275,1635.0,550.1,0.769,1.50385
5.73,1.972,0.658,876.8,341.4,0.985,1.51564
2.78,1.107,0.313,1757.9,458.0,0.891,1.33657
5.7,1.45,0.218,1159.1,429.8,0.919,1.36861
3.89,1.186,0.355,1731.7,485.2,0.861,1.40914
1.84,1.9,0.583,1664.2,489.7,0.855,1.24254
8.92,1.6,0.602,1187.3,526.6,0.806,1.41546
2.17,1.167,0.353,1177.5,484.0,0.862,1.27274
1.47,1.959,0.355,547.8,433.4,0.916,0.92236
7.76,1.289,0.542,431.3,353.0,0.978,1.33267
8.08,1.913,0.501,556.0,311.5,0.999,1.61632
3.2,1.486,0.267,1158.5,586.9,0.695,1.31662
6.47,1.825,0.376,1039.4,584.2,0.701,1.56394
6.4,1.161,0.347,363.6,328.9,0.992,1.5512
2.52,1.742,0.625,1438.2,482.1,0.864,1.28437
6.65,1.188,0.37,1389.4,357.5,0.976,1.50991
3.84,1.95,0.423,1061.5,512.0,0.827,1.42598
6.1,1.435,0.429,942.8,347.5,0.982,1.53822
6.67,1.889,0.552,1619.4,486.3,0.859,1.54674
1.69,1.303,0.46,685.7,427.5,0.921,1.19421
1.28,1.05,0.391,1723.1,416.8,0.931,1.03625
3.86,1.43,0.274,806.8,578.9,0.713,1.4086
1.07,1.275,0.247,1679.9,485.4,0.86,0.83528
8.39,1.741,0.2,1746.6,529.4,0.802,1.36378
6.65,1.069,0.413,1250.4,365.8,0.97,1.34189
4.98,1.041,0.268,645.2,484.4,0.862,1.50422
8.16,1.375,0.456,1389.5,481.4,0.865,1.49298
6.14,1.752,0.699,692.6,523.1,0.811,1.34813
8.38,1.046,0.417,423.9,420.8,0.927,1.35552
5.35,1.215,0.431,1395.3,416.5,0.931,1.39878
2.72,1.081,0.212,672.0,545.9,0.776,1.2808
5.9,1.188,0.334,1089.1,443.3,0.906,1.5227
5.52,1.487,0.62,1744.2,481.9,0.864,1.24062
7.27,1.359,0.385,1405.5,336.1,0.988,1.56452
4.64,1.796,0.547,980.5,472.4,0.875,1.48838
6.64,1.171,0.452,1597.9,349.7,0.98,1.35222
6.91,1.25,0.441,1489.6,577.2,0.717,1.37226
8.99,1.218,0.395,1342.3,575.9,0.72,1.46281
1.79,1.125,0.404,710.7,405.2,0.941,1.18927
8.61,1.174,0.409,1172.0,510.3,0.829,1.43972
3.08,1.363,0.576,1009.4,485.2,0.861,1.13985
1.89,1.877,0.405,1684.1,528.0,0.804,1.1636
6.32,1.718,0.41,1520.7,480.9,0.866,1.55723
3.0,1.387,0.2,936.1,357.2,0.976,1.05792
7.16,1.617,0.407,1743.8,361.4,0.973,1.57573
6.61,1.472,0.535,419.3,383.4,0.958,1.47166
7.12,1.333,0.22,1595.0,333.2,0.99,1.47246
5.88,1.038,0.301,687.8,408.4,0.938,1.51878
5.74,1.441,0.343,1565.1,376.6,0.963,1.53065
1.16,1.085,0.427,1412.7,489.1,0.856,0.96235
4.63,1.403,0.437,1592.3,519.4,0.816,1.43741
8.7,1.753,0.203,1333.8,508.6,0.831,1.37059
8.82,1.312,0.375,801.4,580.2,0.71,1.54957
6.05,1.845,0.692,1003.0,552.6,0.765,1.38587
3.13,1.612,0.484,1197.3,348.1,0.981,1.40377
5.81,1.635,0.262,1660.1,451.3,0.898,1.40915
4.93,1.647,0.609,948.9,452.3,0.897,1.39833
1.61,1.237,0.243,1396.5,538.4,0.788,1.05066
7.91,1.749,0.75,1035.7,379.9,0.96,1.32538
8.68,1.264,0.316,1627.2,489.1,0.856,1.59135
4.21,1.72,0.241,1588.3,584.2,0.701,1.27727
7.22,1.85,0.233,1781.4,422.4,0.926,1.31344
5.34,1.433,0.343,1268.3,356.7,0.976,1.51905
1.3,1.39,0.24,1794.6,404.8,0.941,0.81977
8.15,1.829,0.361,599.2,447.6,0.902,1.59027
3.97,1.39,0.537,1282.7,488.8,0.856,1.28158
8.38,1.645,0.414,826.3,383.9,0.957,1.61707
1.62,1.874,0.683,1384.9,419.0,0.929,1.18372
1.63,1.031,0.361,1002.5,429.5,0.919,1.15159
3.31,1.15,0.306,1273.9,515.8,0.821,1.39506
1.9,1.648,0.442,608.5,318.0,0.997,1.24369
4.79,1.569,0.485,472.3,465.0,0.884,1.49748
6.81,1.234,0.311,534.1,459.4,0.89,1.57829
4.09,1.339,0.202,1629.1,336.3,0.988,1.21864
6.23,1.911,0.209,1725.8,591.6,0.683,1.26825
5.65,1.617,0.301,514.2,429.0,0.92,1.48037
3.66,1.902,0.852,1533.7,390.3,0.953,1.14537
1.22,1.203,0.393,1354.0,522.0,0.813,1.07195
2.65,1.627,0.273,1556.6,406.6,0.939,1.11888
6.7,1.502,0.324,1321.7,487.4,0.858,1.56096
8.87,1.894,0.63,805.2,495.2,0.848,1.54247
5.43,1.188,0.3,311.6,311.0,0.999,1.54482
7.27,1.323,0.416,919.4,455.5,0.894,1.52288
7.74,1.281,0.541,1302.7,329.8,0.991,1.29214
