,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Enrichment,Pitch,FuelRad,FuelTemp,ModTemp,ModDens,Keff,Std_dev
0,0,0,0,7.78,1.978,0.635,350.4,366.9,0.969,1.57594,0.00087
1,1,1,1,4.83,1.066,0.392,725.5,572.3,0.727,1.29306,0.00098
2,2,2,2,8.6,1.727,0.325,1487.9,573.8,0.724,1.59529,0.00088
3,3,3,3,7.79,1.198,0.721,1111.4,475.5,0.872,,
4,4,4,4,3.89,1.993,0.834,533.7,447.7,0.902,1.27877,0.00083
5,5,5,5,2.23,1.839,0.484,354.7,452.5,0.897,1.31044,0.0009
6,6,6,6,8.23,1.417,0.208,694.3,364.8,0.971,1.46319,0.00089
7,7,7,7,7.84,1.471,0.835,411.1,306.0,1.001,,
8,8,8,8,3.35,1.457,0.26,1181.1,527.3,0.805,1.30093,0.00085
9,9,9,9,1.87,1.925,0.725,957.0,433.8,0.915,1.21611,0.00091
10,10,10,10,3.55,1.221,0.302,377.1,496.8,0.846,1.43468,0.00085
11,11,11,11,8.21,1.706,0.548,1198.1,337.9,0.987,1.55115,0.00096
12,12,12,12,8.28,1.762,0.636,1085.8,412.2,0.935,1.48267,0.00084
13,13,13,13,3.74,1.295,0.724,756.7,355.0,0.977,,
14,14,14,14,4.94,1.622,0.229,825.2,365.6,0.97,1.24827,0.00086
15,15,15,15,7.4,1.291,0.892,1663.1,390.9,0.952,,
16,16,16,16,7.42,1.996,0.277,485.3,540.7,0.784,1.44464,0.00089
17,17,17,17,6.27,1.881,0.69,1776.3,351.1,0.98,1.44375,0.00108
18,18,18,18,7.45,1.319,0.524,634.7,341.9,0.985,1.38292,0.00081
19,19,19,19,1.31,1.12,0.677,1640.8,448.2,0.901,,
20,20,20,20,1.33,1.842,0.435,1527.7,373.8,0.965,1.03012,0.0008
21,21,21,21,7.32,1.246,0.382,397.9,307.8,1.001,1.55814,0.00084
22,22,22,22,5.72,1.422,0.33,1428.5,530.0,0.801,1.52684,0.00075
23,23,23,23,5.15,1.505,0.235,1059.7,313.4,0.999,1.32609,0.00086
24,24,24,24,2.44,1.842,0.838,1077.2,335.4,0.988,1.06671,0.00102
25,25,25,25,1.37,1.369,0.21,1328.7,413.3,0.934,0.76196,0.00061
26,26,26,26,8.74,1.316,0.837,1058.3,341.9,0.985,,
27,27,27,27,1.44,1.953,0.795,512.6,564.3,0.743,1.06586,0.00094
28,28,28,28,5.89,1.544,0.742,1522.3,593.6,0.678,,
29,29,29,29,6.42,1.848,0.709,354.7,352.9,0.978,1.45236,0.00101
30,30,30,30,7.65,1.882,0.882,1195.1,492.4,0.852,,
31,31,31,31,7.45,1.764,0.758,409.4,494.0,0.85,1.31177,0.0009
32,32,32,32,3.84,1.274,0.874,1749.4,420.0,0.928,,
33,33,33,33,4.27,1.975,0.884,1619.6,564.8,0.742,1.10291,0.0008
34,34,34,34,3.36,1.432,0.885,376.4,583.5,0.703,,
35,35,35,35,7.57,1.714,0.232,646.3,304.7,1.002,1.35938,0.00088
36,36,36,36,4.58,1.752,0.333,1060.5,366.8,0.97,1.39793,0.00088
37,37,37,37,4.76,1.486,0.686,356.8,431.3,0.918,,
38,38,38,38,3.86,1.704,0.266,737.3,599.0,0.662,1.33176,0.00092
39,39,39,39,4.06,1.946,0.794,422.4,497.6,0.845,1.30092,0.00095
40,40,40,40,4.32,1.446,0.787,1325.2,507.7,0.832,,
41,41,41,41,3.19,1.066,0.836,1660.9,464.0,0.885,,
42,42,42,42,7.49,1.683,0.567,901.0,455.9,0.893,1.50816,0.0008
43,43,43,43,1.63,1.583,0.72,652.9,321.5,0.995,0.98064,0.00084
44,44,44,44,7.64,1.188,0.299,1314.0,429.2,0.919,1.57259,0.00087
45,45,45,45,6.18,1.494,0.382,1274.9,402.5,0.943,1.54882,0.00078
46,46,46,46,3.91,1.785,0.207,654.5,591.0,0.684,1.12751,0.00078
47,47,47,47,1.97,1.614,0.72,1720.4,556.6,0.757,0.94083,0.00078
